BLOCKID,SENATE
090034737004012, 2
090034715002014, 2
090034712002017, 2
090035244001016, 2
090035015001002, 2
090039801001010, 2
090035012002005, 2
090035037001002, 2
090034735023006, 2
090035040003005, 2
090035039004014, 2
090034713003006, 2
090034713004006, 2
090034731001003, 2
090035015002001, 2
090034734001005, 2
090034715002009, 2
090034735011038, 2
090035042002002, 2
090035013001001, 2
090035244002002, 2
090034735013003, 2
090035246003001, 2
090035246003006, 2
090034715002023, 2
090035012002007, 2
090039801001017, 2
090034737003005, 2
090034735012001, 2
090035040003002, 2
090034712002016, 2
090034734001023, 2
090035039004018, 2
090034737002004, 2
090034712002018, 2
090035039003006, 2
090034735011000, 2
090034713001011, 2
090035042002000, 2
090035039004010, 2
090035244002006, 2
090035244001012, 2
090034736013023, 2
090034711002011, 2
090035038001003, 2
090034731005002, 2
090039801001022, 2
090035039002008, 2
090034711002019, 2
090035042003002, 2
090035039003007, 2
090034714001002, 2
090035040001008, 2
090034738001000, 2
090035244001008, 2
090034735011017, 2
090034738002015, 2
090035246001002, 2
090034713001012, 2
090034737002010, 2
090034736021004, 2
090034735011013, 2
090035015001010, 2
090035244001001, 2
090034738001018, 2
090034713002004, 2
090034712002012, 2
090034731002008, 2
090034737002007, 2
090034715001013, 2
090035014003000, 2
090034736021006, 2
090035012001004, 2
